status	exit_code	elf	log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/broadcast/elf/kernel_broadcast_broadcast_019__DType__half_tM2048_IN_SHAPE1280_1_49_OUT_SHAPE1280_8_49.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_broadcast_elf_kernel_broadcast_broadcast_019__DType__half_tM2048_IN_SHAPE1280_1_49_OUT_SHAPE1280_8_49.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/broadcast/elf/kernel_broadcast_broadcast_039__DType__half_tM2048_IN_SHAPE1_128_1_16_OUT_SHAPE64_128_8_16.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_broadcast_elf_kernel_broadcast_broadcast_039__DType__half_tM2048_IN_SHAPE1_128_1_16_OUT_SHAPE64_128_8_16.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/broadcast/elf/kernel_broadcast_broadcast_039__DType__half_tM2048_IN_SHAPE1_8192_1_16_OUT_SHAPE1_8192_8_16.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_broadcast_elf_kernel_broadcast_broadcast_039__DType__half_tM2048_IN_SHAPE1_8192_1_16_OUT_SHAPE1_8192_8_16.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/broadcast/elf/kernel_broadcast_broadcast_07__DType__half_tM2048_IN_SHAPE1334_1_OUT_SHAPE1334_129.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_broadcast_elf_kernel_broadcast_broadcast_07__DType__half_tM2048_IN_SHAPE1334_1_OUT_SHAPE1334_129.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/broadcast/elf/kernel_broadcast_broadcast_Hunyuan__DType__half_tM2048_IN_SHAPE1_1_1_65_128_OUT_SHAPE1_1_7_65_128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_broadcast_elf_kernel_broadcast_broadcast_Hunyuan__DType__half_tM2048_IN_SHAPE1_1_1_65_128_OUT_SHAPE1_1_7_65_128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/concat/elf/kernel_concat_concat_gather_DType__half_tM512_IN_SHAPE256_8_OUT_SHAPE256_8000.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_concat_elf_kernel_concat_concat_gather_DType__half_tM512_IN_SHAPE256_8_OUT_SHAPE256_8000.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/concat/elf/kernel_concat_concat_gather_DTypeint32_t_tM512_IN_SHAPE64_2_OUT_SHAPE64_2000.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_concat_elf_kernel_concat_concat_gather_DTypeint32_t_tM512_IN_SHAPE64_2_OUT_SHAPE64_2000.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/concat/elf/kernel_concat_concat_scatter_DType__half_tM512_IN_SHAPE256_8_OUT_SHAPE256_8000.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_concat_elf_kernel_concat_concat_scatter_DType__half_tM512_IN_SHAPE256_8_OUT_SHAPE256_8000.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/concat/elf/kernel_concat_concat_scatter_DTypeint32_t_tM512_IN_SHAPE64_2_OUT_SHAPE64_2000.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_concat_elf_kernel_concat_concat_scatter_DTypeint32_t_tM512_IN_SHAPE64_2_OUT_SHAPE64_2000.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col1024_debug_off.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col1024_debug_off.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col1024_debug_on.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col1024_debug_on.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col256_debug_off.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col256_debug_off.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col256_debug_on.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col256_debug_on.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col512_debug_off.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col512_debug_off.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col512_debug_on.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simd_kNum6144_kMaxProbe512_knum_col512_debug_on.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simt_kNum6144_kNumThreads6144_kMaxProbe512_break_debug_off.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simt_kNum6144_kNumThreads6144_kMaxProbe512_break_debug_off.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/control/elf/hashtable_lookup_simt_kNum6144_kNumThreads6144_kMaxProbe512_break_debug_on.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_control_elf_hashtable_lookup_simt_kNum6144_kNumThreads6144_kMaxProbe512_break_debug_on.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/element_wise/gelu/elf/kernel_element_wise_gelu_gelu_Approximate_false_DType__bf16_tM2048_SHAPE128_1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_element_wise_gelu_elf_kernel_element_wise_gelu_gelu_Approximate_false_DType__bf16_tM2048_SHAPE128_1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/element_wise/gelu/elf/kernel_element_wise_gelu_gelu_Approximate_false_DType__bf16_tM2048_SHAPE24_8_1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_element_wise_gelu_elf_kernel_element_wise_gelu_gelu_Approximate_false_DType__bf16_tM2048_SHAPE24_8_1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/element_wise/gelu/elf/kernel_element_wise_gelu_gelu_Approximate_true_DType__bf16_tM2048_SHAPE128_1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_element_wise_gelu_elf_kernel_element_wise_gelu_gelu_Approximate_true_DType__bf16_tM2048_SHAPE128_1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/element_wise/gelu/elf/kernel_element_wise_gelu_gelu_Approximate_true_DType__bf16_tM2048_SHAPE24_8_1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_element_wise_gelu_elf_kernel_element_wise_gelu_gelu_Approximate_true_DType__bf16_tM2048_SHAPE24_8_1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X1_Y2.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X1_Y2.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X1_Y4.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X1_Y4.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X2_Y2.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X2_Y2.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X2_Y4.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq256_Skv512_Tm128_Tk128_X2_Y4.elf.log
